THE WB STATE HANDLOOM WEAVERS CO-OPERATIVE SOCIETY LTD.,13
STATE WATER INVESTIGATION DTE.,12
PRESIDENCY UNIVERSITY,2
DIRECTORATE OF TEXTILES (SERICULTURE),6
NORTH BENGAL DEVELOPMENT DEPARTMENT,10
NATIONAL HEALTH MISSION (NHM),3
WB HOUSING BOARD,2
DISTRICT MAGISTRATE PURBA MEDINIPUR,7
MACKINTOSH BURN LIMITED,1
MALDA MEDICAL COLLEGE AND HOSPITAL,1
BIDHAN CHANDRA KRISHI VISWAVIDYALAYA,13
UNIVERSITY OF KALYANI,10
HOWRAH IMPROVEMENT TRUST,1
DIRECTORATE OF MASS EDUCATION EXTENSION,1
DIRECTORATE OF DISASTER MANAGEMENT,6
DISTRICT MAGISTRATE SOUTH 24 PARGANAS,17
WEST BENGAL STATE EXPORT PROMOTION WB SOCIETY,3
MEDICAL COLLEGE KOLKATA,10
WEST BENGAL POLICE TELECOMMUNICATION,2
WEST BENGAL STATE SEED CORPORATION LTD.,7
HIMALAYAN MOUNTAINEERING INSTITUTE - DARJEELING,2
WEST BENGAL SURFACE TRANSPORT CORPORATION LTD.,7
NEW TOWN KOLKATA GREEN SMART CITY CORPORATION LIMITED,1
LAND AND LAND REFORMS AND R.R. AND R. DEPARTMENT,3
INSTITUTE OF POST GRADUATE AYURVEDIC EDUCATION AND RESEARCH,4
DISTRICT HEALTH AND FAMILY WELFARE SAMITY - PASCHIM MEDINIPUR,2
CRIMINAL INVESTIGATION DEPARTMENT,1
URBAN DEVELOPMENT AND MUNICIPAL AFFAIRS DEPARTMENT,1
CO-OPERATION DIRECTORATE (HEAD QUARTER),1
PASCHIMBANGA AGRI MARKETING CORPORATION LTD,1
WEST BENGAL ESSENTIAL COMMODITIES,2
WBSRDA,1
RABINDRA BHARATI UNIVERSITY,2
DISTRICT MAGISTRATE HOOGHLY,1
DISTRICT MAGISTRATE BIRBHUM,2
DIRECTORATE OF FISHERIES,1
